CodOrgSuperior;OrgSuperior;OrgSubordinado;UnidadeGestora;Data;Favorecido;Valor
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;4 GRUPO DE ARTILHARIA ANTIAEREA;23/11/2017;MARIA EDUARDINA DO AMPARO & CIA LTDA - ME [RECANTO HOTEL E RESTAURANTE];12000
25000;MINISTERIO DA FAZENDA;MINISTERIO DA FAZENDA;SUPERINTEND�NCIA DE ADMINISTRA��O DO MF/DF;22/09/2017;LSG SKY CHEFS;5787.46
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;14 GRUPO DE ARTILHARIA DE CAMPANHA;06/07/2017;LEILA MARIA DE PAULA - ME [RESTAURANTE CASARAO];4000
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;14 GRUPO DE ARTILHARIA DE CAMPANHA;20/11/2017;RESTAURANTE MIGUELINHO LTDA - ME [RESTAURANTE MIGUELINHO];4000
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;14 GRUPO DE ARTILHARIA DE CAMPANHA;22/11/2017;RESTAURANTE MIGUELINHO LTDA - ME [RESTAURANTE MIGUELINHO];3759
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;14 GRUPO DE ARTILHARIA DE CAMPANHA;20/11/2017;DANUSA DUTRA & CIA LTDA - ME [PAO DE MEL & CIA];3700
52000;MINISTERIO DA DEFESA;MINISTERIO DA DEFESA;DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD;20/09/2017;CHURRASCARIA FOGO DE CHAO LTDA. [FOGO DE CHAO];3625.6
52000;MINISTERIO DA DEFESA;MINISTERIO DA DEFESA;DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD;10/03/2017;CHURRASCARIA FOGO DE CHAO LTDA. [FOGO DE CHAO];3448.5
52000;MINISTERIO DA DEFESA;MINISTERIO DA DEFESA;DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD;13/02/2017;COCO BAMBU LAGO SUL COMERCIO DE ALIMENTOS LTDA [COCO BAMBU FRUTOS DO MAR];3327
52000;MINISTERIO DA DEFESA;MINISTERIO DA DEFESA;DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD;03/10/2017;COCO BAMBU LAGO SUL COMERCIO DE ALIMENTOS LTDA [COCO BAMBU FRUTOS DO MAR];3165.8
25000;MINISTERIO DA FAZENDA;MINISTERIO DA FAZENDA;SUPERINTEND�NCIA DE ADMINISTRA��O DO MF/DF;24/04/2017;AIR CULINAIRE;3029.62
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;14 GRUPO DE ARTILHARIA DE CAMPANHA;06/07/2017;LEILA MARIA DE PAULA - ME [RESTAURANTE CASARAO];3000
52000;MINISTERIO DA DEFESA;MINISTERIO DA DEFESA;DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD;07/06/2017;CHURRASCARIA FOGO DE CHAO LTDA. [FOGO DE CHAO];2992
24000;MINIST.DA CIENCIA,TECNOL.,INOV.E COMUNICACOES;AGENCIA ESPACIAL BRASILEIRA - AEB;AGENCIA ESPACIAL BRASILEIRA/AEB;23/10/2017;V. ONGARATTO - EPP [CHURRASCARIA AQUARIUS];2814.2
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;14 GRUPO DE ARTILHARIA DE CAMPANHA;07/07/2017;IVONE DOS REIS DA SILVA & CIA LTDA - ME [ADEGA];2500
52000;MINISTERIO DA DEFESA;MINISTERIO DA DEFESA;DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD;15/08/2017;COCO BAMBU LAGO SUL COMERCIO DE ALIMENTOS LTDA [COCO BAMBU FRUTOS DO MAR];2406.58
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;COMANDO BRIGADA INFANTARIA PARAQUEDISTA;25/07/2017;BAR E RESTAURANTE SETE E MEIA LTDA - ME;2262.7
