CodOrgSuperior;OrgSuperior;OrgSubordinado;UnidadeGestora;Data;Favorecido;Valor
40000;MINISTERIO DO TRABALHO;MINISTERIO DO TRABALHO;SECRETARIA DE INSPE��O DO TRABALHO;25/01/2017;DISTRIBUIDORA RIO PURUS LTDA - ME [AUTO POSTO SANTO AFONSO I];7775
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;18 BATALHAO DE TRANSPORTE;03/08/2017;AUTO POSTO CATARINENSE LTDA [POSTO CATARINENSE];2804.93
44000;MINISTERIO DO MEIO AMBIENTE;INST.CHICO MENDES DE CONSER.DA BIODIVERSIDADE;INSTITUTO CHICO MENDES - SEDE;24/07/2017;BARROS E PENA LTDA - EPP [POSTO PEDRO HENRIQUE];2415
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;18 BATALHAO DE TRANSPORTE;28/07/2017;AUTO POSTO CATARINENSE LTDA [POSTO CATARINENSE];2348.59
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;18 BATALHAO DE TRANSPORTE;18/07/2017;AUTO POSTO CATARINENSE LTDA [POSTO CATARINENSE];2256.86
44000;MINISTERIO DO MEIO AMBIENTE;INST.CHICO MENDES DE CONSER.DA BIODIVERSIDADE;INSTITUTO CHICO MENDES - SEDE;23/11/2017;BARROS E PENA LTDA - EPP [POSTO PEDRO HENRIQUE];2000
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;10 BATALHAO LOGISTICO;14/12/2017;SOBRAL & FILHOS COMERCIO DE COMBUSTIVEIS LTDA;2000
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;36 BATALHAO DE INFANTARIA MOTORIZADO;08/09/2017;PETROARTE REVENDEDORA DE COMBUSTIVEIS LTDA [POSTO ELDORADO];1982.4
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;36 BATALHAO DE INFANTARIA MOTORIZADO;08/09/2017;PETROARTE REVENDEDORA DE COMBUSTIVEIS LTDA [POSTO ELDORADO];1982.4
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;10 BATALHAO LOGISTICO;14/12/2017;SOBRAL & FILHOS COMERCIO DE COMBUSTIVEIS LTDA;1900
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;5 BATALHAO LOGISTICO;05/12/2017;MORAIS & HUKAN LTDA [POSTO DE MOLAS CIDADE NOVA];1700
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;ESTABELECIMENTO CENTRAL DE TRANSPORTE;17/03/2017;IRMAOS RUSSI LTDA [AUTO POSTO BODANESE];1695.73
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;ESTABELECIMENTO CENTRAL DE TRANSPORTE;13/03/2017;COMERCIO DE COMBUSTIVEIS CARAVAGIO LTDA [COMERCIO DE COMBUSTIVEIS CARAVAGIO LTDA];1690
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;36 BATALHAO DE INFANTARIA MOTORIZADO;04/09/2017;ANDRADE E URIAS LTDA [POSTO JK];1641.6
