OrgSuperior;OrgSubordinado;UnidadeGestora;Portador;Total;Frequencia
MINISTERIO DA DEFESA;COMANDO DO EXERCITO;COLEGIO  MILITAR DE BRASILIA;FERNANDA P CAMILO;33216.72;2
MINISTERIO DA DEFESA;MINISTERIO DA DEFESA;DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD;SAMARA F S BARBOSA;4138.4;2
MINISTERIO DA DEFESA;MINISTERIO DA DEFESA;DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD;CARLOS MARDEN SILVA;4935.94;2
MINISTERIO DA DEFESA;MINISTERIO DA DEFESA;DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD;ALEXANDRE O FERNAND;2133.25;1
MINISTERIO DA DEFESA;MINISTERIO DA DEFESA;DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD;MARCELO P DA SILVA;2000;1
MINISTERIO DE MINAS E ENERGIA;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;CLEIDER D P JUNIOR;1623;1
MINISTERIO DE MINAS E ENERGIA;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;DANIEL C DE DEUS;4623.0;5
MINISTERIO DO TRABALHO;MINISTERIO DO TRABALHO;SUPERINT REG DO TRAB E EMPREGO/MTPS/ES;JONES DIAS;2700;2
MINISTERIO DE MINAS E ENERGIA;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;KATARINA REMPEL;2007.2;2
MINISTERIO DE MINAS E ENERGIA;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;GUILHERME GUERRA;1108.5;1
MINISTERIO DA FAZENDA;MINISTERIO DA FAZENDA;SUPERINTEND�NCIA DE ADMINISTRA��O DO MF/PA;LUIZ LEITE FILHO;1000;1
MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE EM GOIAS;DANIEL RIBEIRO OLIV;891.1;1
MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE NO MARANH�O;ELCYLENE RODRIGUES;800;1
MINISTERIO DE MINAS E ENERGIA;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;GUSTAVO NEGRELLO;1188.5;2
MINISTERIO DA EDUCACAO;INST.FED.DE EDUC.,CIENC.E TEC.DO MATO GROSSO;INST.FED.MATO GROSSO/CAMPUS S�O VICENTE;JONIR DE OLIVEIRA;2386.8;3
MINISTERIO DA DEFESA;COMANDO DO EXERCITO;25 BATALHAO DE CACADORES;MARCO NOBRE;5400;9
MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE NO MARANH�O;MARIA J G MORAIS;1600;2
MINISTERIO DA DEFESA;COMANDO DO EXERCITO;25 BATALHAO DE CACADORES;RIVALDO;5264;8
MINISTERIO DE MINAS E ENERGIA;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;IAGO S BARBOSA;6647.0;6
MINISTERIO DA DEFESA;MINISTERIO DA DEFESA;DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD;ROGERIO A BORGES;1787;2
MINISTERIO DA EDUCACAO;INST.FED.DE EDUC.,CIENC.E TEC.FARROUPILHA;INST.FED.DE EDUC.,CIENC.E TEC.FARROUPILHA;ANDREA PEREIRA;733.37;1
MINISTERIO DA EDUCACAO;INST.FED.DE EDUC.,CIENC.E TEC.DA PARAIBA;INST.FED.DA PARAIBA/CAMPUS JOAO PESSOA;EDMILSON V SANTOS;700;1
MINISTERIO DA DEFESA;COMANDO DO EXERCITO;COMANDO 13  BDA DE INFANTARIA MOTORIZADA;JIDDU S SILVA;1000;2
