CodOrgSuperior;OrgSuperior;OrgSubordinado;UnidadeGestora;Data;Favorecido;Valor
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;COLEGIO  MILITAR DE BRASILIA;02/12/2017;SHERATON BOSTON HOTEL;28615.13
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;4 GRUPO DE ARTILHARIA ANTIAEREA;23/11/2017;MARIA EDUARDINA DO AMPARO & CIA LTDA - ME [RECANTO HOTEL E RESTAURANTE];12000
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;4 GRUPO DE ARTILHARIA ANTIAEREA;20/11/2017;GEMIMA FERNANDES SOARES - EPP [HOTEL HEBRON];12000
52000;MINISTERIO DA DEFESA;COMANDO DO EXERCITO;COLEGIO  MILITAR DE BRASILIA;08/12/2017;PARK CENTRAL HOTEL;10203.09
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE NO MATO GROSSO SUL;31/08/2017;ADEMAR DE OLIVEIRA DINIZ - ME [FENIX PLAZA HOTEL];6465.5
32000;MINISTERIO DE MINAS E ENERGIA;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;28/08/2017;IRMAOS PINHEIRO HOTEIS E TURISMO LTDA [INACIO PALACE HOTEL];3660.5
52000;MINISTERIO DA DEFESA;MINISTERIO DA DEFESA;DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD;31/05/2017;RIO ATLANTICA HOTEL S/A;3412.4
52000;MINISTERIO DA DEFESA;MINISTERIO DA DEFESA;DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD;11/10/2017;LA HOTELS EMPREENDIMENTOS 1 LTDA. [ROYAL TULIP BRASILIA];3021.8
52000;MINISTERIO DA DEFESA;MINISTERIO DA DEFESA;DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD;09/05/2017;MORUMBY HOTEIS LTDA [GRAND HYATT SAO PAULO];2630.46
32000;MINISTERIO DE MINAS E ENERGIA;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;01/09/2017;HOTEL KANAAN;2361
32000;MINISTERIO DE MINAS E ENERGIA;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;13/09/2017;HOTEL TREVO SERVICO DE HOTELARIA LTDA  - ME [HOTEL TREVO];2313.5
52000;MINISTERIO DA DEFESA;MINISTERIO DA DEFESA;DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD;12/05/2017;COMPANHIA HOTEIS PALACE [COPACABANA PALACE HOTEL];2305.48
52000;MINISTERIO DA DEFESA;MINISTERIO DA DEFESA;DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD;05/04/2017;WINDSOR ADMINISTRACAO DE HOTEIS E SERVICOS LTDA [WINDSOR MARAPENDI HOTEL];2133.25
52000;MINISTERIO DA DEFESA;MINISTERIO DA DEFESA;DEPARTAMENTO DE ADMINISTRACAO INTERNA-MD;05/04/2017;WINDSOR ADMINISTRACAO DE HOTEIS E SERVICOS LTDA [WINDSOR MARAPENDI HOTEL];2000
26000;MINISTERIO DA EDUCACAO;UNIVERSIDADE FEDERAL DO PARA;UNIVERSIDADE FEDERAL DO PARA;10/10/2017;HOTEL RIO PARNAIBA LTDA [HOTEL RIO PARNAIBA];2000
32000;MINISTERIO DE MINAS E ENERGIA;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;18/07/2017;PREMIUM PALACE HOTEL LTDA - ME [PREMIUM PALACE HOTEL];1812.5
32000;MINISTERIO DE MINAS E ENERGIA;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;28/08/2017;WILLIAN AMADEU DE SOUZA COGO - ME [HOSPEDARIA COGO];1761.26
32000;MINISTERIO DE MINAS E ENERGIA;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;03/11/2017;POR DO SOL COMERCIO E SERVICOS LTDA - ME [ECO-TUR POUSADA];1642.3
32000;MINISTERIO DE MINAS E ENERGIA;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;21/08/2017;HOTEL OESTE LTDA - ME [HOTEL OESTE];1623
20113;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE NO MARANH�O;07/12/2017;S. DUARTE DA MOTTA [POUSADA QUEBRA ANZOL];1600
32000;MINISTERIO DE MINAS E ENERGIA;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;COMPANHIA DE PESQUISA DE RECURSOS MINERAIS;12/07/2017;HOTEL KANAAN LTDA - ME [HOTEL KANAAN];1589
