OrgSuperior;OrgSubordinado;UnidadeGestora;Portador;Data;Favorecido;Valor
PRESIDENCIA DA REPUBLICA;INSTITUTO NAC. DE COLONIZACAO E REF. AGRARIA;SUPERINTENDENCIA REGIONAL DE SANTAREM - SR-30;AURILEDO DE MELO;21/08/2017;RIO TAPAJOS COMERCIO DE ALIMENTOS EIRELI  - ME [SUPERMERCADO PRECO BAIXO];510.44
PRESIDENCIA DA REPUBLICA;INSTITUTO NAC. DE COLONIZACAO E REF. AGRARIA;SUPERINTENDENCIA REGIONAL DE SANTAREM - SR-30;AURILEDO DE MELO;21/08/2017;RIO TAPAJOS COMERCIO DE ALIMENTOS EIRELI  - ME [SUPERMERCADO PRECO BAIXO];714
PRESIDENCIA DA REPUBLICA;INSTITUTO NAC. DE COLONIZACAO E REF. AGRARIA;SUPERINTENDENCIA REGIONAL DE SANTAREM - SR-30;AURILEDO DE MELO;21/08/2017;RIO TAPAJOS COMERCIO DE ALIMENTOS EIRELI  - ME [SUPERMERCADO PRECO BAIXO];775.56
PRESIDENCIA DA REPUBLICA;INSTITUTO NAC. DE COLONIZACAO E REF. AGRARIA;SUPERINTEND.ESTADUAL DO E.SANTO-INCRA/SR-20;NILSON ALVES;31/07/2017;AUTO SERVICO IRMAOS PIMENTEL LTDA [SUPERMERCADOS PIMENTEL];119
PRESIDENCIA DA REPUBLICA;ADVOCACIA-GERAL DA UNIAO - AGU;SUPERINTENDENCIA ADMINISTRACAO NO RIO G. SUL;JULIO C P BRONDANI;18/08/2017;BRASAO SUPERMERCADOS S/A [SUPERMERCADO BRASAO];40.35
PRESIDENCIA DA REPUBLICA;ADVOCACIA-GERAL DA UNIAO - AGU;SUPERINTENDENCIA ADMINISTRACAO NO RIO G. SUL;MILENE O RAMOS;08/08/2017;A. ANGELONI & CIA. LTDA [SUPERMERCADOS ANGELONI];89.25
PRESIDENCIA DA REPUBLICA;ADVOCACIA-GERAL DA UNIAO - AGU;SUPERINTENDENCIA ADMINISTRACAO NO RIO G. SUL;MARLENE R PAZ;25/08/2017;E.B.DE SOUZA-DISTRIBUIDORA DE BEBIDAS - ME;306
MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;SUP. DE ADMINISTRA��O DO MPDG/RR;ISAC NICOLAS;02/08/2017;SUPERMERCADOS DB LTDA;240.6
MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;FUNDACAO IBGE-ADMINISTRACAO CENTRAL/RJ;RICARDO RIBAS;01/08/2017;TOTAL SUPERMERCADO LTDA - EPP;158.4
MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;FUNDACAO IBGE-ADMINISTRACAO CENTRAL/RJ;RICARDO RIBAS;09/08/2017;TOTAL SUPERMERCADO LTDA - EPP;46.44
MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;FUNDACAO IBGE-ADMINISTRACAO CENTRAL/RJ;JURANDIR OLIVEIRA;05/08/2017;MINIMERCADO NOROESTE DE PADUA LTDA - ME [SUPERMERCADO RIO PADUA];44.57
MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE NO AMAZONAS;LAMIN G S DA SILVA;03/08/2017;COMERCIAL TRIUNFANTE LTDA. - ME [SUPERMERCADO TRIUNFANTE];25.94
MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE NO AMAZONAS;LAMIN G S DA SILVA;31/07/2017;COMERCIAL TRIUNFANTE LTDA. - ME [SUPERMERCADO TRIUNFANTE];23.81
MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE NO AMAZONAS;TASSIO SOUZA;25/08/2017;J. VALMIR DE SOUZA - COMERCIO DE ALIMENTOS - ME [MERCANTIL VICTOR];40
MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE NO AMAZONAS;FABIO CUNHA;18/08/2017;COMERCIAL TRIUNFANTE LTDA. - ME [SUPERMERCADO TRIUNFANTE];24.3
MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE NO AMAZONAS;FABIO CUNHA;25/08/2017;SUPER BRASILEIRO PRODUTOS ALIMENTICIOS LTDA - ME [SUPERMERCADO BRASILEIRO];8
MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE NO MARANH�O;PERLA O DOS SANTOS;17/08/2017;LUCINEIDE DA SILVA PORTELA - ME [CASA GARCIA SUPERMERCADO];133.56
MINIST. DO PLANEJAMENTO, DESENVOLV. E GESTAO;FUNDACAO INST.BRAS.DE GEOGRAFIA E ESTATISTICA;UNIDADE ESTADUAL DO IBGE NO MARANH�O;JOSEANE M SOUSA;14/08/2017;MATEUS SUPERMERCADOS S.A. [HIPER MATEUS];199.54
