aglo,65,1,66
agu2,7576,553,8129
ana,353,8,361
anac,1446,53,1499
anatel,1502,44,1546
ancine,407,5,412
aneel,684,5,689
anp,839,11,850
antaq,432,15,447
anvisa,1870,39,1909
bc2,3849,51,3900
capes,403,6,409
cbtu,9,4527,4536
cefetmg,1817,24,1841
cefetrj,1564,8,1572
ceitec,21,210,231
cgu,2159,21,2180
cnen,1901,38,1939
cnpq,428,9,437
codevasf,4,1741,1745
conab,9,3251,3260
cp2,2322,23,2345
cprm,11,1751,1762
cvm,518,8,526
dnit,2826,186,3012
dnocs,1358,6,1364
dnpm,1063,41,1104
dpu,1803,187,1990
eb,229998,2157,232155
ebc,207,2190,2397
ebserh,2080,23698,25778
embrapa,11,9512,9523
embratur,125,9,134
enap,233,4,237
epe,4,307,311
fab,74267,738,75005
fiocruz,5195,155,5350
fnde,537,4,541
fosorio,76,2,78
funag,49,1,50
funai,2256,39,2295
funarte,265,3,268
funasa,3052,41,3093
fundacentro,266,4,270
fundaj,284,2,286
furg,2033,77,2110
hcpa,48,7024,7072
ibama,4257,31,4288
ibc,259,11,270
ibge2,11211,130,11341
ibram,580,15,595
ifac,677,13,690
ifal,1695,2,1697
ifam,1904,8,1912
ifap,566,1,567
ifb,1067,31,1098
ifba,2632,22,2654
ifbaiano,1533,10,1543
ifc,1867,5,1872
ifce,3347,19,3366
ifes,2955,18,2973
iff,1727,21,1748
iffarroupilha,1472,13,1485
ifg,2125,21,2146
ifgo,1413,8,1421
ifma,3066,22,3088
ifmg,1921,25,1946
ifms,1151,5,1156
ifmt,2061,25,2086
ifnmg,1373,6,1379
ifpa,2191,21,2212
ifpb,2368,21,2389
ifpe,2216,20,2236
ifpi,2199,11,2210
ifpr,2009,9,2018
ifrj,2001,15,2016
ifrn,2680,11,2691
ifro,1148,8,1156
ifrr,666,3,669
ifrs,2166,12,2178
ifsc,2737,45,2782
ifse,1194,2,1196
ifsertao,1003,8,1011
ifsp,4572,48,4620
ifsudestemg,1292,15,1307
ifsul,1869,4,1873
ifsuldeminas,1165,4,1169
iftm,1138,0,1138
ifto,1262,6,1268
inep,415,11,426
ines,440,3,443
inmetro,919,10,929
inpi,1101,6,1107
inss,33474,1428,34902
ipea,366,14,380
iphan,1027,31,1058
mapa2,9469,342,9811
mb,83081,170,83251
mcid,478,1,479
mctic,4078,68,4146
mdic,989,17,1006
mds,531,9,540
me,247,21,268
mec2,1075,87,1162
mf2,29559,696,30255
mi,615,29,644
minc2,761,17,778
mj2,2732,80,2812
mma,854,22,876
mme2,543,24,567
mp,3483,302,3785
mpdft,101,1,102
mpf,77,1,78
mpt,67,70,137
mre,1262,2037,3299
ms2,29264,25955,55219
mt,1273,312,1585
mte,7163,186,7349
mtur,273,7,280
nuclep,8,1105,1113
pf2,13926,138,14064
pr2,3946,169,4115
previc,229,3,232
prf,10862,32,10894
serpro,3,9047,9050
sudam,220,1,221
sudeco,100,1,101
sudene,233,1,234
suframa,517,5,522
susep,379,3,382
tst,78,5,83
ufabc,1470,13,1483
ufac,1540,177,1717
ufal,3442,143,3585
ufam,3484,238,3722
ufba,5635,456,6091
ufc,6160,486,6646
ufcg,3253,101,3354
ufcspa,552,525,1077
ufersa,1315,26,1341
ufes,4026,223,4249
uff,7568,446,8014
uffs,1442,307,1749
ufg,5162,418,5580
ufgd,1514,71,1585
ufjf,3308,287,3595
ufla,1297,36,1333
ufma,3623,363,3986
ufmg,7577,733,8310
ufms,3412,267,3679
ufmt,3601,292,3893
ufob,530,2,532
ufop,1869,24,1893
ufopa,993,9,1002
ufpa,5371,357,5728
ufpb,6238,394,6632
ufpe,6934,406,7340
ufpel,2742,201,2943
ufpi,3223,273,3496
ufpr,6169,717,6886
ufra,999,53,1052
ufrb,1603,22,1625
ufrgs,5545,232,5777
ufrj,2589,190,2779
ufrj2,14099,878,14977
ufrn,5626,557,6183
ufrpe,2361,100,2461
ufrr,1084,73,1157
ufrrj,2569,174,2743
ufs,3049,322,3371
ufsb,418,0,418
ufsc,5829,285,6114
ufscar,2370,3,2373
ufsj,1455,38,1493
ufsm,4670,347,5017
uft,1937,108,2045
uftm,2061,286,2347
ufu,5137,415,5552
ufv,3619,82,3701
ufvjm,1382,49,1431
unb,5789,476,6265
unifal,898,26,924
unifap,1172,73,1245
unifei,976,2,978
unifesp,5452,1761,7213
unila,892,39,931
unilab,646,1,647
unipampa,1811,53,1864
unir,1288,14,1302
univasf,930,88,1018
utfpr,3992,19,4011
valec,10,582,592
